"","review_scores_rating","high_booking_rate"
"1",100,0
"2",100,0
"3",100,0
"4",98,1
"5",98,0
"6",99,0
"7",97,1
"8",92,0
"9",94,0
"10",95,0
"11",87,0
"12",98,0
"13",89,0
"14",95,0
"15",98,0
"16",98,1
"17",97,1
"18",97,0
"19",90,0
"20",94,0
"21",89,0
"22",95,1
"23",91,0
"24",98,0
"25",90,0
"26",100,0
"27",95,1
"28",80,0
"29",97,0
"30",98,1
"31",100,0
"32",74,0
"33",98,0
"34",82,0
"35",60,0
"36",80,0
"37",97,1
"38",60,0
"39",100,0
"40",90,0
"41",96,0
"42",100,0
"43",96,1
"44",100,0
"45",100,0
"46",99,1
"47",95,0
"48",93,1
"49",100,0
"50",100,1
"51",93,0
"52",97,1
"53",100,0
"54",91,0
"55",80,0
"56",100,0
"57",94,1
"58",93,0
"59",90,0
"60",100,0
"61",92,1
"62",95,1
"63",80,0
"64",97,1
"65",95,0
"66",94,0
"67",93,0
"68",96,0
"69",95,0
"70",98,0
"71",97,0
"72",97,0
"73",100,0
"74",100,0
"75",100,0
"76",97,1
"77",98,1
"78",80,0
"79",100,0
"80",99,1
"81",77,1
"82",95,0
"83",84,0
"84",96,0
"85",99,1
"86",97,1
"87",100,0
"88",92,0
"89",97,0
"90",88,0
"91",100,0
"92",100,0
"93",50,1
"94",87,0
"95",100,0
"96",89,1
"97",96,0
"98",87,1
"99",96,1
"100",90,0
"101",94,0
"102",95,1
"103",97,0
"104",84,0
"105",95,1
"106",100,0
"107",99,1
"108",96,1
"109",99,0
"110",100,0
"111",100,0
"112",89,0
"113",94,0
"114",94,0
"115",100,0
"116",98,0
"117",94,0
"118",97,1
"119",100,0
"120",100,0
"121",100,0
"122",100,1
"123",89,0
"124",100,0
"125",97,1
"126",89,1
"127",89,0
"128",97,1
"129",93,0
"130",87,0
"131",100,0
"132",80,1
"133",98,1
"134",100,0
"135",100,0
"136",94,1
"137",83,0
"138",60,0
"139",98,0
"140",98,0
"141",92,0
"142",92,1
"143",98,0
"144",90,0
"145",100,0
"146",97,1
"147",80,0
"148",91,0
"149",93,0
"150",93,0
"151",100,1
"152",97,1
"153",88,0
"154",100,0
"155",100,0
"156",92,0
"157",100,0
"158",100,0
"159",96,0
"160",96,0
"161",100,0
"162",99,0
"163",90,0
"164",96,0
"165",96,0
"166",100,0
"167",95,0
"168",100,0
"169",88,0
"170",100,0
"171",94,0
"172",83,0
"173",100,0
"174",100,1
"175",96,0
"176",96,1
"177",89,0
"178",100,0
"179",96,0
"180",76,1
"181",82,1
"182",100,0
"183",92,0
"184",96,0
"185",100,0
"186",100,0
"187",100,0
"188",98,0
"189",93,0
"190",95,1
"191",94,1
"192",97,1
"193",80,0
"194",80,0
"195",99,1
"196",97,1
"197",100,0
"198",94,1
"199",80,0
"200",98,0
"201",90,0
"202",87,0
"203",100,0
"204",100,0
"205",100,0
"206",99,0
"207",80,0
"208",95,0
